CICLO BÁSICO,ESCUELA COMUN
BACHILLERATO GENERAL (4°),CICLO BÁSICO
BACHILLERATO GENERAL (4°),ARTICULACION EDUCACION MEDIA BASICA
BACHILLERATO GENERAL (4°),CICLO BASICO TECNOLOGICO
BACHILLERATO GENERAL (4°),FORMACION PROFESIONAL BASICA (EMB)
BACHILLERATO GENERAL (4°),PROGRAMA CENTROS EDUC. COMUNITARIOS
BACHILLERATO DIVERSIFICADO (5°),BACHILLERATO GENERAL (4°)
BACHILLERATO DIVERSIFICADO (6°),BACHILLERATO DIVERSIFICADO (5°)
EDUCADOR SOCIAL,BACHILLERATO DIVERSIFICADO (6°)
EDUCADOR SOCIAL,BACHILLERATO FIGARI
EDUCADOR SOCIAL,BACHILLERATO PROFESIONAL
EDUCADOR SOCIAL,EDUCACION MEDIA TECNOLOGICA
EDUCADOR SOCIAL,EDUCACION MEDIA TECNOLOGICA FINEST
MAGISTERIO,BACHILLERATO DIVERSIFICADO (6°)
MAGISTERIO,BACHILLERATO FIGARI
MAGISTERIO,BACHILLERATO PROFESIONAL
MAGISTERIO,EDUCACION MEDIA TECNOLOGICA
MAGISTERIO,EDUCACION MEDIA TECNOLOGICA FINEST
PROFESORADO,BACHILLERATO DIVERSIFICADO (6°)
PROFESORADO,BACHILLERATO FIGARI
PROFESORADO,BACHILLERATO PROFESIONAL
PROFESORADO,EDUCACION MEDIA TECNOLOGICA
PROFESORADO,EDUCACION MEDIA TECNOLOGICA FINEST
ESCUELA COMUN,ESCUELA COMUN
ESCUELA COMUN,JARDIN DE INFANTES
ARTICULACION EDUCACION MEDIA BASICA,ESCUELA COMUN
ASCENSOS M. MERCANTE,ESCUELA COMUN
BACHILLERATO FIGARI,CICLO BÁSICO
BACHILLERATO FIGARI,ARTICULACION EDUCACION MEDIA BASICA
BACHILLERATO FIGARI,CICLO BASICO TECNOLOGICO
BACHILLERATO PROFESIONAL,CICLO BÁSICO
BACHILLERATO PROFESIONAL,ARTICULACION EDUCACION MEDIA BASICA
BACHILLERATO PROFESIONAL,CICLO BASICO TECNOLOGICO
CAP. PROFUNDIZACION PROFESIONAL,ESCUELA COMUN
CAPACITACION PROFESIONAL,ESCUELA COMUN
CAPACITACION PROFESIONAL INICIAL,ESCUELA COMUN
CICLO BASICO TECNOLOGICO,ESCUELA COMUN
CTT ESPECIALIZACION,BACHILLERATO DIVERSIFICADO (6°)
CTT ESPECIALIZACION,BACHILLERATO FIGARI
CTT ESPECIALIZACION,BACHILLERATO PROFESIONAL
CTT ESPECIALIZACION,EDUCACION MEDIA PROFESIONAL
CURSO BASICO,ESCUELA COMUN
CURSO BASICO ESPECIALIZACION,ESCUELA COMUN
CURSO TECNICO,CICLO BÁSICO
CURSO TECNICO,ARTICULACION EDUCACION MEDIA BASICA
CURSO TECNICO,CICLO BASICO TECNOLOGICO
E. M. P.  ESPECIALIZACION,CICLO BÁSICO
E. M. P.  ESPECIALIZACION,ARTICULACION EDUCACION MEDIA BASICA
E. M. P.  ESPECIALIZACION,CICLO BASICO TECNOLOGICO
EDUCACION MEDIA PROFESIONAL,CICLO BÁSICO
EDUCACION MEDIA PROFESIONAL,ARTICULACION EDUCACION MEDIA BASICA
EDUCACION MEDIA PROFESIONAL,CICLO BASICO TECNOLOGICO
EDUCACION MEDIA TECNOLOGICA,CICLO BÁSICO
EDUCACION MEDIA TECNOLOGICA,ARTICULACION EDUCACION MEDIA BASICA
EDUCACION MEDIA TECNOLOGICA FINEST,CICLO BÁSICO
EDUCACION MEDIA TECNOLOGICA FINEST,ARTICULACION EDUCACION MEDIA BASICA
EDUCACION MEDIA TECNOLOGICA FINEST,CICLO BASICO TECNOLOGICO
FORM. PROFES. EN ARTES Y ARTESANIAS,ESCUELA COMUN
FORMACION PROFESIONAL ESPECIALIZADA,ESCUELA COMUN
PROGRAMA CENTROS EDUC. COMUNITARIOS,ESCUELA COMUN
TECNOLOGO,BACHILLERATO DIVERSIFICADO (6°)
TECNOLOGO,BACHILLERATO FIGARI
TECNOLOGO,BACHILLERATO PROFESIONAL
TECNOLOGO,EDUCACION MEDIA TECNOLOGICA
TECNOLOGO,EDUCACION MEDIA TECNOLOGICA FINEST
INGENIERO TECNOLOGICO,BACHILLERATO DIVERSIFICADO (6°)
INGENIERO TECNOLOGICO,BACHILLERATO FIGARI
INGENIERO TECNOLOGICO,BACHILLERATO PROFESIONAL
INGENIERO TECNOLOGICO,EDUCACION MEDIA TECNOLOGICA
INGENIERO TECNOLOGICO,EDUCACION MEDIA TECNOLOGICA FINEST
CONVENIO CON FACULTAD DE INGENIERIA,BACHILLERATO DIVERSIFICADO (6°)
CONVENIO CON FACULTAD DE INGENIERIA,BACHILLERATO FIGARI
CONVENIO CON FACULTAD DE INGENIERIA,BACHILLERATO PROFESIONAL
CONVENIO CON FACULTAD DE INGENIERIA,EDUCACION MEDIA TECNOLOGICA
CONVENIO CON FACULTAD DE INGENIERIA,EDUCACION MEDIA TECNOLOGICA FINEST
CURSO TECNICO TERCIARIO,BACHILLERATO DIVERSIFICADO (6°)
CURSO TECNICO TERCIARIO,BACHILLERATO FIGARI
CURSO TECNICO TERCIARIO,BACHILLERATO PROFESIONAL
CURSO TECNICO TERCIARIO,EDUCACION MEDIA TECNOLOGICA
CURSO TECNICO TERCIARIO,EDUCACION MEDIA TECNOLOGICA FINEST
ARTICULACION,BACHILLERATO DIVERSIFICADO (6°)
ARTICULACION,BACHILLERATO FIGARI
ARTICULACION,BACHILLERATO PROFESIONAL
ARTICULACION,EDUCACION MEDIA TECNOLOGICA FINEST
